State,Zone
Alabama,Central Time Zone
Alaska,"Alaska Time Zone, Hawaii-Aleutian Time Zone"
Arizona,Mountain Time Zone
Arkansas,Central Time Zone
California,Pacific Time Zone
Colorado,Mountain Time Zone
Connecticut,Eastern Time Zone
Delaware,Eastern Time Zone
Florida,"Eastern Time Zone, Central Time Zone"
Georgia,Eastern Time Zone
Hawaii,Hawaii-Aleutian Time Zone
Idaho,"Mountain Time Zone, Pacific Time Zone"
Illinois,Central Time Zone
Indiana,"Eastern Time Zone, Central Time Zone"
Iowa,Central Time Zone
Kansas,"Central Time Zone, Mountain Time Zone"
Kentucky,"Eastern Time Zone, Central Time Zone"
Louisiana,Central Time Zone
Maine,Eastern Time Zone
Maryland,Eastern Time Zone
Massachusetts,Eastern Time Zone
Michigan,"Eastern Time Zone, Central Time Zone"
Minnesota,Central Time Zone
Mississippi,Central Time Zone
Missouri,Central Time Zone
Montana,Mountain Time Zone
Nebraska,"Central Time Zone, Mountain Time Zone"
Nevada,"Pacific Time Zone, Mountain Time Zone"
New Hampshire,Eastern Time Zone
New Jersey,Eastern Time Zone
New Mexico,Mountain Time Zone
New York,Eastern Time Zone
North Carolina,Eastern Time Zone
North Dakota,"Central Time Zone, Mountain Time Zone"
Ohio,Eastern Time Zone
Oklahoma,Central Time Zone
Oregon,"Pacific Time Zone, Mountain Time Zone"
Pennsylvania,Eastern Time Zone
Rhode Island,Eastern Time Zone
South Carolina,Eastern Time Zone
South Dakota,"Central Time Zone, Mountain Time Zone"
Tennessee,"Eastern Time Zone, Central Time Zone"
Texas,"Central Time Zone, Mountain Time Zone"
Utah,Mountain Time Zone
Vermont,Eastern Time Zone
Virginia,Eastern Time Zone
Washington,Pacific Time Zone
West Virginia,Eastern Time Zone
Wisconsin,Central Time Zone
Wyoming,Mountain Time Zone
